poi_type,positive,neutral,negative
park,624,104,11
,699,130,31
"tourist_attraction,park",106,10,0
"park,tourist_attraction",152,19,2
"campground,park,lodging",37,7,0
tourist_attraction,36,18,0
"restaurant,food",4368,1034,347
"church,tourist_attraction,place_of_worship",10,5,0
museum,79,1,5
"tourist_attraction,museum",89,9,0
amusement_park,57,13,0
school,1735,131,8
library,70,8,0
shopping_mall,536,78,15
"furniture_store,home_goods_store,museum,store",11,0,0
"cafe,store,food",439,163,57
"bakery,restaurant,food,store",25,4,0
"shopping_mall,restaurant,food",2,8,5
"convenience_store,store,food",43,29,13
"bar,food",20,3,4
"cafe,food,store",914,303,120
"hospital,health",404,107,16
bar,329,32,5
"convenience_store,food,store",55,64,39
"cafe,food",810,149,39
lodging,604,111,29
"church,place_of_worship",256,53,3
"bar,restaurant,food",457,48,2
night_club,52,15,0
"restaurant,cafe,store,food",27,5,0
"supermarket,grocery_or_supermarket,food,store",119,47,20
art_gallery,135,14,0
"restaurant,cafe,food",53,24,3
"cafe,restaurant,food",146,28,9
"night_club,bar",202,22,1
"meal_takeaway,restaurant,food",400,107,49
"shopping_mall,convenience_store,food,store",15,1,0
"atm,finance",39,84,20
"supermarket,grocery_or_supermarket,storage,store,food",2,19,0
transit_station,120,63,12
"doctor,health",833,186,48
"cafe,store,restaurant,food",70,13,5
"subway_station,transit_station",192,67,7
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",11,0,2
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",9,0,2
"pharmacy,store,health",22,20,6
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",4,16,0
"bakery,store,food",38,5,1
"bar,meal_takeaway,restaurant,food",27,1,0
"restaurant,meal_takeaway,food",62,5,5
"bus_station,transit_station",22,58,16
"restaurant,cafe,bar,food",36,3,0
"gas_station,convenience_store,meal_delivery,restaurant,food,store",10,0,0
"bank,finance",148,123,57
"pharmacy,health,store",44,42,17
"cafe,meal_takeaway,bakery,restaurant,food,store",9,2,0
"supermarket,storage,grocery_or_supermarket,food,store",10,2,0
"hospital,doctor,health",349,46,13
"shopping_mall,store",20,3,1
"bakery,meal_takeaway,restaurant,store,food",13,1,0
hair_care,57,9,1
"cafe,restaurant,food,store",180,52,14
"bakery,cafe,bar,store,restaurant,food",12,0,0
"meal_takeaway,meal_delivery,restaurant,food",21,1,0
"restaurant,meal_delivery,food",17,4,0
"bakery,food,store",31,12,5
"restaurant,bar,food",127,14,0
"place_of_worship,health",13,0,0
"cafe,bakery,food,store",78,13,3
"meal_takeaway,cafe,restaurant,food",16,3,1
"cafe,bar,restaurant,food,store",26,18,2
food,89,20,8
"grocery_or_supermarket,supermarket,food,store",8,7,1
"cafe,bakery,store,food",40,6,1
"book_store,store",24,0,0
"hindu_temple,place_of_worship",44,3,0
"shopping_mall,clothing_store,store",60,0,0
"hindu_temple,tourist_attraction,place_of_worship",83,5,0
movie_theater,126,26,0
"bar,store,restaurant,food",21,0,0
"bakery,meal_takeaway,restaurant,food,store",19,3,4
"meal_takeaway,store,restaurant,food",17,1,0
"bakery,storage,supermarket,grocery_or_supermarket,food,store",15,0,0
"meal_takeaway,restaurant,store,food",24,3,0
"art_gallery,tourist_attraction",17,0,0
"shopping_mall,cafe,health,grocery_or_supermarket,restaurant,food,store",11,0,0
"bar,night_club",35,2,0
casino,10,8,0
"supermarket,grocery_or_supermarket,store,food",82,58,19
"primary_school,secondary_school,school",55,9,0
"bar,lodging",16,0,0
"dentist,doctor,health",272,37,4
"clothing_store,store",60,20,3
"cafe,electronics_store,home_goods_store,food,store",21,0,0
"restaurant,cafe,food,store",17,9,1
car_wash,29,2,0
"tourist_attraction,bar,restaurant,food",18,0,0
beauty_salon,65,6,4
"hospital,physiotherapist,doctor,health",0,14,3
locksmith,12,1,0
bowling_alley,12,3,15
store,101,15,19
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",5,7,0
"meal_takeaway,meal_delivery,restaurant,food,store",16,10,1
"primary_school,school",153,36,6
"department_store,shopping_mall,store",29,0,0
"university,school",25,5,0
health,185,52,16
stadium,33,1,0
"gym,school,health,restaurant,food,store",10,0,0
"art_gallery,store",55,1,1
"grocery_or_supermarket,convenience_store,store,food",14,6,0
university,107,15,0
"meal_delivery,meal_takeaway,restaurant,food",99,56,25
"cafe,grocery_or_supermarket,food,store",18,5,0
"mosque,tourist_attraction,museum,place_of_worship",7,11,0
"place_of_worship,tourist_attraction",1,17,0
"tourist_attraction,church,place_of_worship",54,3,0
"department_store,store",12,3,0
"night_club,bar,restaurant,food",53,3,0
"cafe,bakery,store,restaurant,food",9,5,0
"grocery_or_supermarket,restaurant,store,food",13,0,0
"museum,tourist_attraction",57,5,0
"meal_delivery,restaurant,food",54,15,1
"store,restaurant,food",22,8,3
"cafe,bar,restaurant,food",58,1,0
"travel_agency,lodging",11,1,0
aquarium,57,1,0
"gym,health",77,5,0
"meal_delivery,restaurant,food,store",10,6,0
car_repair,64,6,2
"meal_takeaway,restaurant,food,store",35,10,1
"spa,doctor,health",16,0,0
"meal_delivery,meal_takeaway,restaurant,food,store",37,6,3
"hardware_store,home_goods_store,store",10,1,0
place_of_worship,47,3,0
"grocery_or_supermarket,store,food",18,8,0
"pharmacy,clothing_store,store,health",13,0,0
"restaurant,food,store",59,11,2
"gas_station,convenience_store,car_wash,food,store",4,0,7
"cafe,meal_delivery,meal_takeaway,restaurant,food",24,1,3
"restaurant,liquor_store,cafe,bar,food,store",18,0,0
"cafe,meal_takeaway,restaurant,food,store",17,8,0
"bar,liquor_store,store,restaurant,food",18,0,0
"store,food",17,6,9
"cafe,grocery_or_supermarket,restaurant,food,store",24,1,0
"gas_station,car_wash,atm,convenience_store,finance,store,food",10,0,0
"cafe,bakery,restaurant,food,store",65,4,0
"cafe,bakery,meal_takeaway,restaurant,grocery_or_supermarket,food,store",14,0,0
"storage,supermarket,grocery_or_supermarket,food,store",4,15,0
"night_club,bakery,bar,store,food",14,0,0
"cemetery,tourist_attraction",15,0,0
"park,food",16,1,0
"liquor_store,meal_delivery,meal_takeaway,store,restaurant,food",15,0,0
"tourist_attraction,meal_takeaway,restaurant,store,food",6,0,4
"food,store",30,3,0
"meal_takeaway,cafe,store,restaurant,food",17,8,0
"grocery_or_supermarket,food,store",16,11,3
"cafe,restaurant,store,food",34,6,0
"bakery,cafe,food,store",41,1,0
"bank,atm,finance",31,25,10
"gas_station,atm,convenience_store,finance,store,food",10,0,0
"bakery,cafe,restaurant,food,store",20,2,6
"post_office,finance",6,12,0
"meal_delivery,bar,meal_takeaway,restaurant,food",12,0,0
"aquarium,pet_store,store",20,0,0
finance,26,7,10
"tourist_attraction,park,store",4,0,0
"tourist_attraction,meal_takeaway,restaurant,food",19,1,7
"tourist_attraction,amusement_park",29,0,0
"store,meal_takeaway,restaurant,food",16,6,1
"hospital,spa,health",52,0,0
"art_gallery,tourist_attraction,museum",36,3,0
"supermarket,grocery_or_supermarket,meal_takeaway,restaurant,food,store",6,10,0
"home_goods_store,store",46,1,0
"meal_delivery,bakery,meal_takeaway,restaurant,food,store",10,0,0
"mosque,place_of_worship",83,25,7
"mosque,tourist_attraction,place_of_worship",70,9,0
"school,store",139,42,1
"meal_takeaway,bar,restaurant,food,store",16,0,0
"school,health",135,15,1
"cafe,meal_delivery,bakery,restaurant,food,store",12,0,0
"laundry,cafe,meal_takeaway,restaurant,food,store",19,0,0
"cafe,grocery_or_supermarket,restaurant,store,food",21,0,0
"tourist_attraction,restaurant,food",19,0,0
"health,store",42,12,2
"restaurant,cafe,bakery,food,store",24,6,4
"health,store,restaurant,food",5,12,0
"doctor,hospital,health",48,5,1
"meal_delivery,meal_takeaway,bar,restaurant,food",22,0,0
"bakery,cafe,store,restaurant,food",10,0,0
"amusement_park,tourist_attraction",30,2,0
"furniture_store,home_goods_store,store",37,3,0
"restaurant,store,food",11,1,6
"gym,school,health",36,2,0
"bar,restaurant,night_club,food",15,0,0
laundry,25,11,5
"cafe,meal_takeaway,restaurant,food",28,13,0
"meal_takeaway,cafe,restaurant,food,store",4,6,0
"tourist_attraction,zoo",9,1,0
zoo,3,4,3
"car_repair,store",47,2,2
"restaurant,liquor_store,bar,food,store",13,4,0
"primary_school,university,school",37,8,0
"shopping_mall,book_store,jewelry_store,store",28,0,0
