name,place_id,type,lat,lng,address
Singapore,ChIJyY4rtGcX2jERIKTarqz3AAQ,food,1.2811866,103.8503404,Singapore
Tuas,ChIJGQcMLX8G2jER_p2LLP4PXII,food,1.2949472,103.6304833,Singapore
Western Islands,ChIJfUjDTFkD2jERWk3ccN3PpWk,food,1.2478844,103.6767958,Singapore
Advario Helios Singapore Pte. Ltd.,ChIJESNtgqUD2jER-d2qU9Ud16c,food,1.2235441,103.6738263,55 Meranti Road
Tanjong Romos,ChIJ2dBd4LEd2jERjKk3OIS-RUQ,food,1.2173674,103.7586456,Semakau Island
Bukom Shri Sakthi Vinayagar Temple,ChIJKXkDb3Id2jERx1J378MToi8,food,1.2254749,103.7760069,Bukom Island
Aster Chemical and Energy Pte. Ltd.,ChIJ4QPVGgAd2jERaMNngK8lVBM,food,1.2263609,103.7771921,Bukom Island
Bukom Canteen,ChIJZTj8Z94d2jERKtTA2Tem_lc,food,1.2257635,103.7760102,Bukom Island
Masjid Pulau Bukom,ChIJjRkAze0c2jER6brFtAUoMKA,food,1.226923,103.7775726,"Pulau Bukom, Singapore"
scan-bilt.pte.ltd,ChIJNYHHOAAd2jERJ48gQgFoNBM,food,1.2257452,103.7751802,Bukom Island
JLL,ChIJz9aXj7od2jER8BSY5Jlwvfk,food,1.225788,103.7751328,"Pulau Bukom, Yard 10"
"Altrad Singapore, Bukom Office",ChIJc1ugvRMd2jERJb462SMgA5s,food,1.2251867,103.774044,Bukom Island
SEO Agency Singapore,ChIJ64TDgokR2jERj6d-L-NnIBc,food,1.2266434,103.7757292,"21 Bukit Batok Crescent, #15-76 Wcega Tower, Singapore"
Carrier (Workshop),ChIJh7oyfwAd2jERTiFMtmS80u0,food,1.226144,103.7747308,
Bukom Fire Station,ChIJoTRXIwAd2jER8XHzF3bjc-I,food,1.2278224,103.7760029,Bukom Island
Southern Islands,ChIJIQrWPrAe2jERyX2WHgkkCCg,food,1.2516481,103.8248465,Singapore
St John's Island Pier,ChIJZ4ANQfIe2jERWf_SQjbhsMM,food,1.2223067,103.8486874,"John's, 12 St Island"
st john lsland,ChIJ5zmIQAAf2jERaur131bgkMA,food,1.2190993,103.8448732,"38 St John's Island, 싱가포르"
Nur Alam,ChIJH_zzEQAf2jERaIALyJ4tJXs,food,1.2226727,103.8443078,
Dolphin Camp,ChIJvwyb3Z0f2jERUHgsaqtf-Dc,food,1.2226566,103.8443378,26 St John's Island
